SellerSku,ParentSku,ShopSku,Name,Brand,PrimaryCategory,Price,SpecialPrice,Status,Stock
TH-700VR,TH-700VR,125404799,LICUADORA TH-700VR THOMAS,THOMAS,Licuadoras|trituradoras|picadoras eléctricas,62990.00,,active,0
TH-141DI,TH-141DI,125412426,Cafetera Thomas TH-141Di,THOMAS,Cafeteras no eléctricas,49990.00,,active,0
TH-129E,TH-129E,125426802,Cafetera Thomas TH-129E,THOMAS,Cafeteras no eléctricas,68990.00,,inactive,0
BATAIN6P,BATAIN6P,126071078,Juego de ollas Inoxidable 6 Piezas Mix,DORAL,Ollas|sartenes|woks,52990.00,,inactive,0
BATALTI7P,BATALTI7P,126073581,Batería Titanio Juego 7 piezas Rojo,DORAL,Ollas|sartenes|woks,52990.00,,inactive,0
DR-408-CA,DR-408-CA,126073637,Batería Titanio Juego 7 piezas Calipso,DORAL,Ollas|sartenes|woks,52990.00,,inactive,0
SARALTD22,SARALTD22,126073984,Sarten Con Espatula AluminioTitanio,DORAL,Ollas|sartenes|woks,9990.00,,inactive,0
SARTIPACK,SARTIPACK,126074900,3 Sartén Titanio Metalizado,DORAL,Ollas|sartenes|woks,21490.00,,active,0
SCOFCOOK,SCOFCOOK,126075277,Set de Sartenes Family Cook Noruega,DORAL,Ollas|sartenes|woks,21490.00,,active,0
OLLALPR9P,OLLALPR9P,126097828,Olla a Presión Aluminio 9 Lts,DORAL,Ollas|sartenes|woks,50940.00,,active,2
MAPASAI18,MAPASAI18,126098490,Máquina para hacer pasta 6 Niveles Grosor,DORAL,Picadoras|tajadera|pasapurés|utensilios para hacer pasta no eléctricos,34990.00,,active,0
OLLALPR7L,OLLALPR7L,126098532,Olla a Presión Aluminio 7 Lts,DORAL,Ollas|sartenes|woks,48690.00,,active,0
2023111009-BG,2023111009-BG,126219490,Carpa 4-5 Personas Armado Automático Alta Resistencia,GENERICO,Tiendas camping,129990.00,,inactive,0
10101054-LEO,10101054-LEO,126516124,Lonchera De Tela Oxford Leopardo,GENERICO,Cajas|bolsas|loncheras portátiles para alimentos no eléctricos,15490.00,,inactive,0
2023021901-PI-1,2023021901-PI-1,128090563,Mochila Escolar 6 Ruedas 30L Capibag,CAPIBAG,"Mochilas, bolsos, maletas y loncheras escolares",50990.00,,active,72
2023021901-PU-1,2023021901-PI-1,128090562,Mochila Escolar 6 Ruedas 30L Capibag,CAPIBAG,"Mochilas, bolsos, maletas y loncheras escolares",50990.00,,active,17
20200119-BK-1,2023021901-PI-1,128090561,Mochila Escolar 6 Ruedas 30L Capibag,CAPIBAG,"Mochilas, bolsos, maletas y loncheras escolares",50990.00,,active,0
BG-7566-BK,BG-7566-BK,129333685,Bolso de Hombro Impermeable 8L Bange BG-7566,BANGE,Carteras de mano o colgantes|mochilas|bolsos,44790.00,,inactive,0
BG-7566-GY,BG-7566-BK,129333684,Bolso de Hombro Impermeable 8L Bange BG-7566,BANGE,Carteras de mano o colgantes|mochilas|bolsos,44790.00,,active,0
BG-2378-BK,BG-2378-BK,129333690,Bolso Deportivo de Viaje Impermeable 30L Bange BG-2378,BANGE,Carteras de mano o colgantes|mochilas|bolsos,59990.00,,inactive,0
BG-2378-GY,BG-2378-BK,129333689,Bolso Deportivo de Viaje Impermeable 30L Bange BG-2378,BANGE,Carteras de mano o colgantes|mochilas|bolsos,59990.00,,inactive,0
BG-1800-BK,BG-1800-BK,129333695,Mochila Viajero Impermeable 28L Bange BG-1800,BANGE,Maletas|bolsos de viaje,59990.00,49993.00,active,9
